"","gene_1","gene_2","gene_3","gene_4","gene_5","gene_6","gene_7","gene_8","gene_9","gene_10","gene_11","gene_12","gene_13","gene_14","gene_15","gene_16","gene_17","gene_18","gene_19","gene_20","gene_21","gene_22","gene_23","gene_24","gene_25","gene_26","gene_27","gene_28","gene_29","gene_30","gene_31","gene_32","gene_33","gene_34","gene_35","gene_36","gene_37","gene_38","gene_39","gene_40","gene_41","gene_42","gene_43","gene_44","gene_45","gene_46","gene_47","gene_48","gene_49","gene_50","gene_51","gene_52","gene_53","gene_54","gene_55","gene_56","gene_57","gene_58","gene_59","gene_60","gene_61","gene_62","gene_63","gene_64","gene_65","gene_66","gene_67","gene_68","gene_69","gene_70","gene_71","gene_72","gene_73","gene_74","gene_75","gene_76","gene_77","gene_78","gene_79","gene_80","gene_81","gene_82","gene_83","gene_84","gene_85","gene_90","gene_91","gene_98","gene_110","gene_111","gene_130","gene_135","gene_169","gene_200","gene_201"
"OG0000315:","fig|1196095.106.peg.1718","fig|1196095.133.peg.2072","fig|1196095.129.peg.727","fig|1196095.121.peg.2695","fig|1196095.97.peg.110","fig|1196095.123.peg.1507","fig|1196095.110.peg.1655","fig|1196095.104.peg.749","fig|1196095.118.peg.1861","fig|1196095.109.peg.1231","fig|1196095.129.peg.1445","fig|1196095.99.peg.1826","fig|1196095.130.peg.2171","fig|1196095.115.peg.1107","fig|1196095.122.peg.1465","fig|1196095.108.peg.1574","fig|1196095.114.peg.287","fig|1196095.132.peg.831","fig|1196095.117.peg.1075","fig|1196095.95.peg.794","fig|1196095.94.peg.1147","fig|1196095.116.peg.2232","fig|1196095.127.peg.916","fig|1196095.135.peg.283","fig|1196095.113.peg.256","fig|1196095.108.peg.1573","fig|1196095.102.peg.153","fig|1196095.133.peg.1776","fig|1196095.131.peg.1308","fig|1196095.98.peg.1175","fig|1196095.129.peg.782","fig|1196095.125.peg.1419","fig|1196095.128.peg.1522","fig|1196095.112.peg.1783","fig|1196095.129.peg.854","fig|1196095.107.peg.2133","fig|1196095.105.peg.1314","fig|1196095.96.peg.636","fig|1196095.119.peg.1838","fig|1196095.111.peg.1090","fig|1196095.134.peg.1430","fig|1196095.124.peg.2304","fig|1196095.120.peg.1073","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000316:","fig|1196095.106.peg.223","fig|1196095.95.peg.1334","fig|1196095.130.peg.1594","fig|1196095.113.peg.755","fig|1196095.98.peg.541","fig|1196095.112.peg.1367","fig|1196095.109.peg.1838","fig|1196095.118.peg.463","fig|1196095.94.peg.713","fig|1196095.122.peg.727","fig|1196095.95.peg.1335","fig|1196095.119.peg.1200","fig|1196095.119.peg.1199","fig|1196095.110.peg.2444","fig|1196095.128.peg.252","fig|1196095.97.peg.2039","fig|1196095.107.peg.1866","fig|1196095.107.peg.1868","fig|1196095.125.peg.2215","fig|1196095.104.peg.1513","fig|1196095.108.peg.1647","fig|1196095.117.peg.1547","fig|1196095.121.peg.373","fig|1196095.95.peg.1333","fig|1196095.132.peg.2132","fig|1196095.124.peg.1907","fig|1196095.105.peg.188","fig|1196095.111.peg.1922","fig|1196095.96.peg.151","fig|1196095.127.peg.1951","fig|1196095.102.peg.372","fig|1196095.94.peg.712","fig|1196095.116.peg.1496","fig|1196095.120.peg.2337","fig|1196095.131.peg.1662","fig|1196095.123.peg.898","fig|1196095.135.peg.1558","fig|1196095.129.peg.2301","fig|1196095.99.peg.432","fig|1196095.108.peg.1646","fig|1196095.134.peg.245","fig|1196095.114.peg.1032","fig|1196095.115.peg.880","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000332:","fig|1196095.106.peg.481","fig|1196095.98.peg.180","fig|1196095.105.peg.1086","fig|1196095.117.peg.487","fig|1196095.114.peg.1258","fig|1196095.120.peg.812","fig|1196095.103.peg.958","fig|1196095.131.peg.595","fig|1196095.111.peg.6","fig|1196095.125.peg.1022","fig|1196095.112.peg.1552","fig|1196095.116.peg.2701","fig|1196095.115.peg.1792","fig|1196095.99.peg.1702","fig|1196095.132.peg.1842","fig|1196095.102.peg.1507","fig|1196095.121.peg.2327","fig|1196095.101.peg.50","fig|1196095.129.peg.247","fig|1196095.107.peg.2277","fig|1196095.135.peg.927","fig|1196095.130.peg.66","fig|1196095.97.peg.840","fig|1196095.122.peg.1386","fig|1196095.108.peg.1155","fig|1196095.110.peg.46","fig|1196095.124.peg.218","fig|1196095.113.peg.1193","fig|1196095.128.peg.1737","fig|1196095.126.peg.633","fig|1196095.119.peg.608","fig|1196095.118.peg.254","fig|1196095.104.peg.1087","fig|1196095.100.peg.22","fig|1196095.109.peg.528","fig|1196095.95.peg.216","fig|1196095.94.peg.770","fig|1196095.127.peg.2273","fig|1196095.134.peg.539","fig|1196095.123.peg.716","fig|1196095.133.peg.2935","fig|1196095.96.peg.231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000340:","fig|1196095.106.peg.1974","fig|1196095.117.peg.1793","fig|1196095.124.peg.248","fig|1196095.112.peg.197","fig|1196095.129.peg.230","fig|1196095.113.peg.1646","fig|1196095.131.peg.620","fig|1196095.125.peg.998","fig|1196095.114.peg.1227","fig|1196095.133.peg.2189","fig|1196095.116.peg.2674","fig|1196095.130.peg.39","fig|1196095.123.peg.684","fig|1196095.109.peg.269","fig|1196095.110.peg.71","fig|1196095.127.peg.2304","fig|1196095.122.peg.1354","fig|1196095.111.peg.31","fig|1196095.119.peg.137","fig|1196095.115.peg.1827","fig|1196095.108.peg.1745","fig|1196095.104.peg.1062","fig|1196095.102.peg.2124","fig|1196095.94.peg.793","fig|1196095.135.peg.943","fig|1196095.121.peg.2348","fig|1196095.126.peg.615","fig|1196095.128.peg.1765","fig|1196095.107.peg.484","fig|1196095.95.peg.239","fig|1196095.96.peg.1740","fig|1196095.134.peg.512","fig|1196095.99.peg.848","fig|1196095.100.peg.41","fig|1196095.98.peg.1597","fig|1196095.118.peg.1426","fig|1196095.105.peg.736","fig|1196095.103.peg.178","fig|1196095.97.peg.1685","fig|1196095.120.peg.10","fig|1196095.101.peg.31","fig|1196095.132.peg.1815","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000373:","fig|1196095.106.peg.2035","fig|1196095.117.peg.602","fig|1196095.110.peg.1183","fig|1196095.124.peg.775","fig|1196095.133.peg.2523","fig|1196095.99.peg.2492","fig|1196095.113.peg.934","fig|1196095.95.peg.1743","fig|1196095.134.peg.2274","fig|1196095.107.peg.1557","fig|1196095.109.peg.786","fig|1196095.101.peg.1532","fig|1196095.123.peg.54","fig|1196095.120.peg.1873","fig|1196095.119.peg.257","fig|1196095.102.peg.1114","fig|1196095.115.peg.1480","fig|1196095.94.peg.1552","fig|1196095.112.peg.1937","fig|1196095.104.peg.208","fig|1196095.114.peg.1101","fig|1196095.98.peg.2386","fig|1196095.132.peg.46","fig|1196095.129.peg.103","fig|1196095.131.peg.731","fig|1196095.108.peg.1938","fig|1196095.125.peg.785","fig|1196095.96.peg.769","fig|1196095.100.peg.114","fig|1196095.127.peg.1045","fig|1196095.126.peg.2016","fig|1196095.116.peg.2845","fig|1196095.122.peg.1213","fig|1196095.121.peg.2483","fig|1196095.118.peg.2287","fig|1196095.135.peg.1083","fig|1196095.103.peg.714","fig|1196095.97.peg.1545","fig|1196095.105.peg.1970","fig|1196095.130.peg.936","fig|1196095.128.peg.1089","fig|1196095.111.peg.1620","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000389:","fig|1196095.106.peg.1816","fig|1196095.119.peg.1132","fig|1196095.122.peg.1881","fig|1196095.121.peg.597","fig|1196095.101.peg.1322","fig|1196095.124.peg.1979","fig|1196095.99.peg.986","fig|1196095.133.peg.3474","fig|1196095.112.peg.220","fig|1196095.129.peg.338","fig|1196095.125.peg.2421","fig|1196095.103.peg.756","fig|1196095.104.peg.37","fig|1196095.116.peg.1256","fig|1196095.109.peg.901","fig|1196095.117.peg.1176","fig|1196095.97.peg.2359","fig|1196095.134.peg.449","fig|1196095.126.peg.1312","fig|1196095.131.peg.901","fig|1196095.96.peg.1808","fig|1196095.135.peg.481","fig|1196095.118.peg.2487","fig|1196095.107.peg.1020","fig|1196095.128.peg.1324","fig|1196095.95.peg.1903","fig|1196095.132.peg.195","fig|1196095.127.peg.2158","fig|1196095.130.peg.1117","fig|1196095.100.peg.152","fig|1196095.102.peg.598","fig|1196095.105.peg.1647","fig|1196095.110.peg.1436","fig|1196095.113.peg.1727","fig|1196095.94.peg.857","fig|1196095.120.peg.33","fig|1196095.115.peg.937","fig|1196095.108.peg.1664","fig|1196095.111.peg.2303","fig|1196095.98.peg.1985","fig|1196095.114.peg.1407","fig|1196095.123.peg.1027","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000390:","fig|1196095.106.peg.1817","fig|1196095.126.peg.1313","fig|1196095.119.peg.1131","fig|1196095.128.peg.1323","fig|1196095.124.peg.1980","fig|1196095.95.peg.1902","fig|1196095.102.peg.599","fig|1196095.112.peg.219","fig|1196095.129.peg.337","fig|1196095.104.peg.38","fig|1196095.125.peg.2420","fig|1196095.99.peg.985","fig|1196095.116.peg.1255","fig|1196095.103.peg.757","fig|1196095.109.peg.900","fig|1196095.105.peg.1646","fig|1196095.117.peg.1175","fig|1196095.134.peg.448","fig|1196095.97.peg.2360","fig|1196095.121.peg.596","fig|1196095.111.peg.2304","fig|1196095.101.peg.1323","fig|1196095.133.peg.3289","fig|1196095.96.peg.1807","fig|1196095.135.peg.482","fig|1196095.122.peg.1882","fig|1196095.107.peg.1019","fig|1196095.130.peg.1116","fig|1196095.118.peg.2486","fig|1196095.100.peg.153","fig|1196095.132.peg.194","fig|1196095.127.peg.2159","fig|1196095.131.peg.900","fig|1196095.113.peg.1726","fig|1196095.120.peg.32","fig|1196095.110.peg.1435","fig|1196095.115.peg.936","fig|1196095.94.peg.858","fig|1196095.114.peg.1408","fig|1196095.98.peg.1984","fig|1196095.123.peg.1028","fig|1196095.108.peg.1665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000477:","fig|1196095.106.peg.2000","fig|1196095.100.peg.403","fig|1196095.107.peg.732","fig|1196095.103.peg.588","fig|1196095.126.peg.1126","fig|1196095.127.peg.482","fig|1196095.113.peg.222","fig|1196095.96.peg.1403","fig|1196095.121.peg.316","fig|1196095.131.peg.22","fig|1196095.110.peg.2095","fig|1196095.101.peg.144","fig|1196095.132.peg.728","fig|1196095.133.peg.2665","fig|1196095.130.peg.1344","fig|1196095.111.peg.731","fig|1196095.129.peg.1554","fig|1196095.104.peg.1681","fig|1196095.114.peg.573","fig|1196095.128.peg.1416","fig|1196095.102.peg.1271","fig|1196095.135.peg.1934","fig|1196095.97.peg.1010","fig|1196095.134.peg.2431","fig|1196095.122.peg.901","fig|1196095.95.peg.1484","fig|1196095.123.peg.490","fig|1196095.118.peg.2096","fig|1196095.115.peg.1735","fig|1196095.109.peg.649","fig|1196095.116.peg.1813","fig|1196095.105.peg.1363","fig|1196095.119.peg.1772","fig|1196095.120.peg.1526","fig|1196095.117.peg.230","fig|1196095.112.peg.1677","fig|1196095.98.peg.1836","fig|1196095.108.peg.772","fig|1196095.94.peg.960","fig|1196095.125.peg.549","fig|1196095.99.peg.198","fig|1196095.124.peg.911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000512:","fig|1196095.106.peg.680","fig|1196095.111.peg.460","fig|1196095.122.peg.2163","fig|1196095.125.peg.2236","fig|1196095.124.peg.404","fig|1196095.103.peg.1830","fig|1196095.130.peg.2399","fig|1196095.99.peg.2353","fig|1196095.118.peg.1101","fig|1196095.121.peg.1590","fig|1196095.115.peg.1935","fig|1196095.101.peg.1441","fig|1196095.95.peg.111","fig|1196095.107.peg.1424","fig|1196095.129.peg.866","fig|1196095.116.peg.608","fig|1196095.127.peg.1355","fig|1196095.135.peg.857","fig|1196095.98.peg.1701","fig|1196095.102.peg.2446","fig|1196095.100.peg.485","fig|1196095.119.peg.414","fig|1196095.117.peg.2523","fig|1196095.104.peg.2088","fig|1196095.128.peg.2403","fig|1196095.134.peg.1267","fig|1196095.94.peg.224","fig|1196095.97.peg.667","fig|1196095.114.peg.1530","fig|1196095.112.peg.765","fig|1196095.131.peg.1107","fig|1196095.120.peg.2281","fig|1196095.105.peg.1917","fig|1196095.132.peg.340","fig|1196095.126.peg.2096","fig|1196095.133.peg.2824","fig|1196095.123.peg.1148","fig|1196095.96.peg.296","fig|1196095.109.peg.64","fig|1196095.113.peg.454","fig|1196095.108.peg.1207","fig|1196095.110.peg.625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000513:","fig|1196095.106.peg.678","fig|1196095.122.peg.2161","fig|1196095.94.peg.222","fig|1196095.125.peg.2234","fig|1196095.121.peg.1592","fig|1196095.124.peg.406","fig|1196095.101.peg.1443","fig|1196095.107.peg.1422","fig|1196095.119.peg.412","fig|1196095.127.peg.1353","fig|1196095.132.peg.338","fig|1196095.120.peg.2279","fig|1196095.135.peg.859","fig|1196095.100.peg.487","fig|1196095.99.peg.2355","fig|1196095.102.peg.2448","fig|1196095.104.peg.2090","fig|1196095.133.peg.46","fig|1196095.111.peg.458","fig|1196095.134.peg.1265","fig|1196095.128.peg.2405","fig|1196095.97.peg.665","fig|1196095.115.peg.1937","fig|1196095.112.peg.767","fig|1196095.114.peg.1532","fig|1196095.103.peg.1832","fig|1196095.118.peg.183","fig|1196095.126.peg.2098","fig|1196095.95.peg.109","fig|1196095.131.peg.1105","fig|1196095.98.peg.1699","fig|1196095.110.peg.627","fig|1196095.108.peg.1209","fig|1196095.123.peg.1150","fig|1196095.96.peg.294","fig|1196095.130.peg.2401","fig|1196095.116.peg.610","fig|1196095.129.peg.864","fig|1196095.117.peg.2525","fig|1196095.105.peg.1915","fig|1196095.109.peg.66","fig|1196095.113.peg.456","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
