0_0: fig|200643.10.peg.10
0_127: fig|200643.10.peg.232
0_128: fig|200643.10.peg.233
0_129: fig|200643.10.peg.236
0_130: fig|200643.10.peg.237
0_131: fig|200643.10.peg.238
0_132: fig|200643.10.peg.239
0_133: fig|200643.10.peg.241
0_134: fig|200643.10.peg.242
0_135: fig|200643.10.peg.243
0_136: fig|200643.10.peg.244
0_137: fig|200643.10.peg.248
0_138: fig|200643.10.peg.249
0_139: fig|200643.10.peg.250
0_140: fig|200643.10.peg.252
0_141: fig|200643.10.peg.255
0_142: fig|200643.10.peg.273
0_143: fig|200643.10.peg.274
0_144: fig|200643.10.peg.275
0_145: fig|200643.10.peg.276
0_146: fig|200643.10.peg.277
0_147: fig|200643.10.peg.278
0_148: fig|200643.10.peg.279
0_149: fig|200643.10.peg.280
0_150: fig|200643.10.peg.282
0_151: fig|200643.10.peg.283
0_152: fig|200643.10.peg.284
0_153: fig|200643.10.peg.285
0_154: fig|200643.10.peg.286
0_155: fig|200643.10.peg.287
0_156: fig|200643.10.peg.288
0_157: fig|200643.10.peg.289
0_158: fig|200643.10.peg.290
0_159: fig|200643.10.peg.291
0_160: fig|200643.10.peg.292
0_161: fig|200643.10.peg.293
0_162: fig|200643.10.peg.294
0_163: fig|200643.10.peg.296
0_164: fig|200643.10.peg.297
0_165: fig|200643.10.peg.298
0_166: fig|200643.10.peg.299
0_167: fig|200643.10.peg.300
0_168: fig|200643.10.peg.302
0_169: fig|200643.10.peg.304
0_170: fig|200643.10.peg.305
0_171: fig|200643.10.peg.307
0_172: fig|200643.10.peg.308
0_173: fig|200643.10.peg.309
0_174: fig|200643.10.peg.313
0_175: fig|200643.10.peg.314
0_176: fig|200643.10.peg.315
0_177: fig|200643.10.peg.316
0_178: fig|200643.10.peg.317
0_179: fig|200643.10.peg.323
0_180: fig|200643.10.peg.324
0_181: fig|200643.10.peg.325
0_182: fig|200643.10.peg.327
0_183: fig|200643.10.peg.328
0_184: fig|200643.10.peg.331
0_185: fig|200643.10.peg.332
0_186: fig|200643.10.peg.333
0_187: fig|200643.10.peg.335
0_188: fig|200643.10.peg.336
0_189: fig|200643.10.peg.337
0_190: fig|200643.10.peg.338
0_191: fig|200643.10.peg.339
0_192: fig|200643.10.peg.340
0_193: fig|200643.10.peg.341
0_194: fig|200643.10.peg.342
0_195: fig|200643.10.peg.345
0_196: fig|200643.10.peg.349
0_197: fig|200643.10.peg.350
0_198: fig|200643.10.peg.351
0_199: fig|200643.10.peg.352
0_200: fig|200643.10.peg.353
0_201: fig|200643.10.peg.354
0_202: fig|200643.10.peg.355
0_203: fig|200643.10.peg.357
0_204: fig|200643.10.peg.359
0_205: fig|200643.10.peg.360
0_206: fig|200643.10.peg.361
0_207: fig|200643.10.peg.363
0_208: fig|200643.10.peg.366
0_209: fig|200643.10.peg.368
0_210: fig|200643.10.peg.370
0_211: fig|200643.10.peg.371
0_212: fig|200643.10.peg.372
0_213: fig|200643.10.peg.376
0_214: fig|200643.10.peg.378
0_215: fig|200643.10.peg.379
0_216: fig|200643.10.peg.380
0_217: fig|200643.10.peg.382
0_218: fig|200643.10.peg.383
0_219: fig|200643.10.peg.388
0_220: fig|200643.10.peg.390
0_221: fig|200643.10.peg.391
0_222: fig|200643.10.peg.392
0_223: fig|200643.10.peg.394
0_224: fig|200643.10.peg.396
0_225: fig|200643.10.peg.397
0_226: fig|200643.10.peg.399
0_227: fig|200643.10.peg.400
0_228: fig|200643.10.peg.401
0_229: fig|200643.10.peg.402
0_230: fig|200643.10.peg.404
0_231: fig|200643.10.peg.405
0_232: fig|200643.10.peg.406
0_233: fig|200643.10.peg.407
0_234: fig|200643.10.peg.408
0_235: fig|200643.10.peg.409
0_236: fig|200643.10.peg.411
0_237: fig|200643.10.peg.412
0_238: fig|200643.10.peg.413
0_239: fig|200643.10.peg.415
0_240: fig|200643.10.peg.421
0_241: fig|200643.10.peg.423
0_242: fig|200643.10.peg.424
0_243: fig|200643.10.peg.426
0_244: fig|200643.10.peg.427
0_245: fig|200643.10.peg.429
0_246: fig|200643.10.peg.432
0_247: fig|200643.10.peg.433
0_248: fig|200643.10.peg.436
0_249: fig|200643.10.peg.437
0_250: fig|200643.10.peg.438
0_251: fig|200643.10.peg.439
0_252: fig|200643.10.peg.440
0_253: fig|200643.10.peg.441
0_254: fig|200643.10.peg.442
0_255: fig|200643.10.peg.445
0_256: fig|200643.10.peg.449
0_257: fig|200643.10.peg.453
0_258: fig|200643.10.peg.454
0_259: fig|200643.10.peg.455
0_260: fig|200643.10.peg.458
0_261: fig|200643.10.peg.460
0_262: fig|200643.10.peg.462
0_263: fig|200643.10.peg.463
0_264: fig|200643.10.peg.466
0_265: fig|200643.10.peg.468
0_266: fig|200643.10.peg.470
0_267: fig|200643.10.peg.471
0_268: fig|200643.10.peg.472
0_269: fig|200643.10.peg.473
0_270: fig|200643.10.peg.474
0_271: fig|200643.10.peg.475
0_272: fig|200643.10.peg.477
0_273: fig|200643.10.peg.478
0_274: fig|200643.10.peg.479
0_275: fig|200643.10.peg.480
0_276: fig|200643.10.peg.483
0_277: fig|200643.10.peg.485
0_278: fig|200643.10.peg.493
0_279: fig|200643.10.peg.494
0_280: fig|200643.10.peg.495
0_281: fig|200643.10.peg.496
0_282: fig|200643.10.peg.500
0_283: fig|200643.10.peg.502
0_284: fig|200643.10.peg.503
0_285: fig|200643.10.peg.506
0_286: fig|200643.10.peg.511
0_287: fig|200643.10.peg.513
0_288: fig|200643.10.peg.514
0_289: fig|200643.10.peg.517
0_290: fig|200643.10.peg.518
0_291: fig|200643.10.peg.523
0_292: fig|200643.10.peg.524
0_293: fig|200643.10.peg.526
0_294: fig|200643.10.peg.527
0_295: fig|200643.10.peg.528
0_296: fig|200643.10.peg.529
0_297: fig|200643.10.peg.532
0_298: fig|200643.10.peg.535
0_299: fig|200643.10.peg.538
0_300: fig|200643.10.peg.539
0_301: fig|200643.10.peg.540
0_302: fig|200643.10.peg.542
0_303: fig|200643.10.peg.543
0_304: fig|200643.10.peg.544
0_305: fig|200643.10.peg.546
0_306: fig|200643.10.peg.549
0_307: fig|200643.10.peg.550
0_308: fig|200643.10.peg.552
0_309: fig|200643.10.peg.553
0_310: fig|200643.10.peg.555
0_311: fig|200643.10.peg.557
0_312: fig|200643.10.peg.558
0_313: fig|200643.10.peg.559
0_314: fig|200643.10.peg.560
0_315: fig|200643.10.peg.562
0_316: fig|200643.10.peg.563
0_317: fig|200643.10.peg.564
0_318: fig|200643.10.peg.565
0_319: fig|200643.10.peg.566
0_320: fig|200643.10.peg.567
0_321: fig|200643.10.peg.570
0_322: fig|200643.10.peg.571
0_323: fig|200643.10.peg.572
0_324: fig|200643.10.peg.576
0_325: fig|200643.10.peg.577
0_326: fig|200643.10.peg.578
0_327: fig|200643.10.peg.579
0_328: fig|200643.10.peg.581
0_329: fig|200643.10.peg.582
0_330: fig|200643.10.peg.583
0_331: fig|200643.10.peg.584
0_332: fig|200643.10.peg.587
0_333: fig|200643.10.peg.588
0_334: fig|200643.10.peg.590
0_335: fig|200643.10.peg.593
0_336: fig|200643.10.peg.597
0_337: fig|200643.10.peg.599
0_338: fig|200643.10.peg.601
0_339: fig|200643.10.peg.602
0_340: fig|200643.10.peg.603
0_341: fig|200643.10.peg.604
0_342: fig|200643.10.peg.605
0_343: fig|200643.10.peg.615
0_344: fig|200643.10.peg.618
0_345: fig|200643.10.peg.620
0_346: fig|200643.10.peg.621
0_347: fig|200643.10.peg.622
0_348: fig|200643.10.peg.623
0_349: fig|200643.10.peg.624
0_350: fig|200643.10.peg.628
0_351: fig|200643.10.peg.630
0_352: fig|200643.10.peg.632
0_353: fig|200643.10.peg.637
0_354: fig|200643.10.peg.638
0_355: fig|200643.10.peg.640
0_356: fig|200643.10.peg.641
0_357: fig|200643.10.peg.642
0_358: fig|200643.10.peg.646
0_359: fig|200643.10.peg.647
0_360: fig|200643.10.peg.651
0_361: fig|200643.10.peg.652
0_362: fig|200643.10.peg.653
0_363: fig|200643.10.peg.654
0_364: fig|200643.10.peg.655
0_365: fig|200643.10.peg.656
0_366: fig|200643.10.peg.657
0_367: fig|200643.10.peg.659
0_368: fig|200643.10.peg.660
0_369: fig|200643.10.peg.661
0_370: fig|200643.10.peg.662
0_371: fig|200643.10.peg.664
0_372: fig|200643.10.peg.666
0_373: fig|200643.10.peg.667
0_374: fig|200643.10.peg.668
0_375: fig|200643.10.peg.672
0_376: fig|200643.10.peg.673
0_377: fig|200643.10.peg.674
0_378: fig|200643.10.peg.675
0_379: fig|200643.10.peg.676
0_380: fig|200643.10.peg.677
0_381: fig|200643.10.peg.678
0_382: fig|200643.10.peg.679
0_383: fig|200643.10.peg.681
0_384: fig|200643.10.peg.682
0_385: fig|200643.10.peg.683
0_386: fig|200643.10.peg.686
0_387: fig|200643.10.peg.687
0_388: fig|200643.10.peg.688
0_389: fig|200643.10.peg.689
0_390: fig|200643.10.peg.690
0_391: fig|200643.10.peg.693
0_392: fig|200643.10.peg.694
0_393: fig|200643.10.peg.695
0_394: fig|200643.10.peg.697
0_395: fig|200643.10.peg.698
0_396: fig|200643.10.peg.699
0_397: fig|200643.10.peg.700
0_398: fig|200643.10.peg.701
0_399: fig|200643.10.peg.702
0_400: fig|200643.10.peg.703
0_401: fig|200643.10.peg.704
0_402: fig|200643.10.peg.705
0_403: fig|200643.10.peg.706
0_404: fig|200643.10.peg.707
0_405: fig|200643.10.peg.708
0_406: fig|200643.10.peg.709
0_407: fig|200643.10.peg.710
0_408: fig|200643.10.peg.711
0_409: fig|200643.10.peg.712
0_410: fig|200643.10.peg.713
0_411: fig|200643.10.peg.714
0_412: fig|200643.10.peg.715
0_413: fig|200643.10.peg.716
0_414: fig|200643.10.peg.718
0_415: fig|200643.10.peg.722
0_416: fig|200643.10.peg.723
0_417: fig|200643.10.peg.724
0_418: fig|200643.10.peg.725
0_419: fig|200643.10.peg.726
0_420: fig|200643.10.peg.728
0_421: fig|200643.10.peg.729
0_422: fig|200643.10.peg.730
0_423: fig|200643.10.peg.732
0_424: fig|200643.10.peg.733
0_425: fig|200643.10.peg.734
0_426: fig|200643.10.peg.736
0_427: fig|200643.10.peg.737
0_428: fig|200643.10.peg.738
0_429: fig|200643.10.peg.739
0_430: fig|200643.10.peg.741
0_431: fig|200643.10.peg.742
0_432: fig|200643.10.peg.743
0_433: fig|200643.10.peg.744
0_434: fig|200643.10.peg.748
0_435: fig|200643.10.peg.755
0_436: fig|200643.10.peg.756
0_437: fig|200643.10.peg.757
0_438: fig|200643.10.peg.758
0_439: fig|200643.10.peg.777
0_440: fig|200643.10.peg.778
0_441: fig|200643.10.peg.781
0_442: fig|200643.10.peg.784
0_443: fig|200643.10.peg.785
0_444: fig|200643.10.peg.786
0_445: fig|200643.10.peg.787
0_446: fig|200643.10.peg.788
0_447: fig|200643.10.peg.790
0_448: fig|200643.10.peg.791
0_449: fig|200643.10.peg.797
0_450: fig|200643.10.peg.799
0_451: fig|200643.10.peg.800
0_452: fig|200643.10.peg.807
0_453: fig|200643.10.peg.809
0_454: fig|200643.10.peg.810
0_455: fig|200643.10.peg.811
0_456: fig|200643.10.peg.812
0_457: fig|200643.10.peg.813
0_458: fig|200643.10.peg.814
0_459: fig|200643.10.peg.816
0_460: fig|200643.10.peg.819
0_461: fig|200643.10.peg.820
0_462: fig|200643.10.peg.822
0_463: fig|200643.10.peg.825
0_464: fig|200643.10.peg.826
0_465: fig|200643.10.peg.827
0_466: fig|200643.10.peg.829
0_467: fig|200643.10.peg.830
0_468: fig|200643.10.peg.831
0_469: fig|200643.10.peg.832
0_470: fig|200643.10.peg.833
0_471: fig|200643.10.peg.834
0_472: fig|200643.10.peg.835
0_473: fig|200643.10.peg.836
0_474: fig|200643.10.peg.839
0_475: fig|200643.10.peg.841
0_476: fig|200643.10.peg.843
0_477: fig|200643.10.peg.844
0_478: fig|200643.10.peg.845
0_479: fig|200643.10.peg.846
0_480: fig|200643.10.peg.847
0_481: fig|200643.10.peg.848
0_482: fig|200643.10.peg.849
0_483: fig|200643.10.peg.850
0_484: fig|200643.10.peg.851
0_485: fig|200643.10.peg.852
0_486: fig|200643.10.peg.854
0_487: fig|200643.10.peg.855
0_488: fig|200643.10.peg.858
0_489: fig|200643.10.peg.859
0_490: fig|200643.10.peg.860
0_491: fig|200643.10.peg.861
0_492: fig|200643.10.peg.863
0_493: fig|200643.10.peg.864
0_494: fig|200643.10.peg.866
0_495: fig|200643.10.peg.868
0_496: fig|200643.10.peg.869
0_497: fig|200643.10.peg.870
0_498: fig|200643.10.peg.871
0_499: fig|200643.10.peg.873
0_500: fig|200643.10.peg.874
0_501: fig|200643.10.peg.875
0_502: fig|200643.10.peg.877
0_503: fig|200643.10.peg.878
0_504: fig|200643.10.peg.879
0_505: fig|200643.10.peg.881
0_506: fig|200643.10.peg.882
0_507: fig|200643.10.peg.883
0_508: fig|200643.10.peg.884
0_509: fig|200643.10.peg.885
0_510: fig|200643.10.peg.887
0_511: fig|200643.10.peg.889
0_512: fig|200643.10.peg.892
0_513: fig|200643.10.peg.898
0_514: fig|200643.10.peg.901
0_515: fig|200643.10.peg.902
0_516: fig|200643.10.peg.904
0_517: fig|200643.10.peg.905
0_518: fig|200643.10.peg.906
0_519: fig|200643.10.peg.907
0_520: fig|200643.10.peg.908
0_521: fig|200643.10.peg.909
0_522: fig|200643.10.peg.910
0_523: fig|200643.10.peg.911
0_524: fig|200643.10.peg.912
0_525: fig|200643.10.peg.913
0_526: fig|200643.10.peg.914
0_527: fig|200643.10.peg.915
0_528: fig|200643.10.peg.916
0_529: fig|200643.10.peg.917
0_530: fig|200643.10.peg.918
0_531: fig|200643.10.peg.919
0_532: fig|200643.10.peg.920
0_533: fig|200643.10.peg.921
0_534: fig|200643.10.peg.923
0_535: fig|200643.10.peg.924
0_536: fig|200643.10.peg.925
0_537: fig|200643.10.peg.926
0_538: fig|200643.10.peg.927
0_539: fig|200643.10.peg.928
0_540: fig|200643.10.peg.929
0_541: fig|200643.10.peg.930
0_542: fig|200643.10.peg.931
0_543: fig|200643.10.peg.932
0_544: fig|200643.10.peg.935
0_545: fig|200643.10.peg.936
0_546: fig|200643.10.peg.937
0_547: fig|200643.10.peg.938
0_548: fig|200643.10.peg.939
0_549: fig|200643.10.peg.941
0_550: fig|200643.10.peg.942
0_551: fig|200643.10.peg.943
0_552: fig|200643.10.peg.944
0_553: fig|200643.10.peg.948
0_554: fig|200643.10.peg.949
0_555: fig|200643.10.peg.950
0_556: fig|200643.10.peg.951
0_557: fig|200643.10.peg.952
0_558: fig|200643.10.peg.953
0_559: fig|200643.10.peg.954
0_560: fig|200643.10.peg.955
0_561: fig|200643.10.peg.956
0_562: fig|200643.10.peg.959
0_563: fig|200643.10.peg.960
0_564: fig|200643.10.peg.961
0_565: fig|200643.10.peg.963
0_566: fig|200643.10.peg.964
0_567: fig|200643.10.peg.966
0_568: fig|200643.10.peg.967
0_569: fig|200643.10.peg.970
0_570: fig|200643.10.peg.971
0_571: fig|200643.10.peg.972
0_572: fig|200643.10.peg.974
0_573: fig|200643.10.peg.976
0_574: fig|200643.10.peg.978
0_575: fig|200643.10.peg.979
0_576: fig|200643.10.peg.980
0_577: fig|200643.10.peg.982
0_578: fig|200643.10.peg.985
0_579: fig|200643.10.peg.986
0_580: fig|200643.10.peg.989
0_581: fig|200643.10.peg.990
0_582: fig|200643.10.peg.991
0_583: fig|200643.10.peg.992
0_584: fig|200643.10.peg.994
0_585: fig|200643.10.peg.995
0_586: fig|200643.10.peg.998
0_587: fig|200643.10.peg.999
0_588: fig|200643.10.peg.1001
0_589: fig|200643.10.peg.1002
0_590: fig|200643.10.peg.1003
0_591: fig|200643.10.peg.1005
0_592: fig|200643.10.peg.1006
0_593: fig|200643.10.peg.1007
0_594: fig|200643.10.peg.1008
0_595: fig|200643.10.peg.1009
0_596: fig|200643.10.peg.1016
0_597: fig|200643.10.peg.1017
0_598: fig|200643.10.peg.1018
0_599: fig|200643.10.peg.1020
0_600: fig|200643.10.peg.1023
0_601: fig|200643.10.peg.1024
0_602: fig|200643.10.peg.1026
0_603: fig|200643.10.peg.1027
0_604: fig|200643.10.peg.1029
0_605: fig|200643.10.peg.1030
0_606: fig|200643.10.peg.1031
0_607: fig|200643.10.peg.1032
0_608: fig|200643.10.peg.1033
0_609: fig|200643.10.peg.1034
0_610: fig|200643.10.peg.1037
0_611: fig|200643.10.peg.1038
0_612: fig|200643.10.peg.1039
0_613: fig|200643.10.peg.1040
0_614: fig|200643.10.peg.1041
0_615: fig|200643.10.peg.1042
0_616: fig|200643.10.peg.1045
0_617: fig|200643.10.peg.1046
0_618: fig|200643.10.peg.1049
0_619: fig|200643.10.peg.1054
0_620: fig|200643.10.peg.1056
0_621: fig|200643.10.peg.1057
0_622: fig|200643.10.peg.1058
0_623: fig|200643.10.peg.1059
0_624: fig|200643.10.peg.1061
0_625: fig|200643.10.peg.1062
0_626: fig|200643.10.peg.1063
0_627: fig|200643.10.peg.1064
0_628: fig|200643.10.peg.1065
0_629: fig|200643.10.peg.1068
0_630: fig|200643.10.peg.1070
0_631: fig|200643.10.peg.1071
0_632: fig|200643.10.peg.1073
0_633: fig|200643.10.peg.1075
0_634: fig|200643.10.peg.1076
0_635: fig|200643.10.peg.1077
0_636: fig|200643.10.peg.1078
0_637: fig|200643.10.peg.1079
0_638: fig|200643.10.peg.1084
0_639: fig|200643.10.peg.1085
0_640: fig|200643.10.peg.1086
0_641: fig|200643.10.peg.1087
0_642: fig|200643.10.peg.1089
0_643: fig|200643.10.peg.1090
0_644: fig|200643.10.peg.1092
0_645: fig|200643.10.peg.1096
0_646: fig|200643.10.peg.1097
0_647: fig|200643.10.peg.1100
0_648: fig|200643.10.peg.1101
0_649: fig|200643.10.peg.1103
0_650: fig|200643.10.peg.1104
0_651: fig|200643.10.peg.1105
0_652: fig|200643.10.peg.1107
0_653: fig|200643.10.peg.1109
0_654: fig|200643.10.peg.1110
0_655: fig|200643.10.peg.1112
0_656: fig|200643.10.peg.1113
0_657: fig|200643.10.peg.1115
0_658: fig|200643.10.peg.1116
0_659: fig|200643.10.peg.1119
0_660: fig|200643.10.peg.1121
0_661: fig|200643.10.peg.1122
0_662: fig|200643.10.peg.1123
0_663: fig|200643.10.peg.1124
0_664: fig|200643.10.peg.1126
0_665: fig|200643.10.peg.1127
0_666: fig|200643.10.peg.1128
0_667: fig|200643.10.peg.1130
0_668: fig|200643.10.peg.1131
0_669: fig|200643.10.peg.1134
0_670: fig|200643.10.peg.1136
0_671: fig|200643.10.peg.1137
0_672: fig|200643.10.peg.1138
0_673: fig|200643.10.peg.1140
0_674: fig|200643.10.peg.1141
0_675: fig|200643.10.peg.1143
0_676: fig|200643.10.peg.1145
0_677: fig|200643.10.peg.1148
0_678: fig|200643.10.peg.1149
0_679: fig|200643.10.peg.1150
0_680: fig|200643.10.peg.1151
0_681: fig|200643.10.peg.1157
0_682: fig|200643.10.peg.1158
0_683: fig|200643.10.peg.1160
0_684: fig|200643.10.peg.1165
0_685: fig|200643.10.peg.1166
0_686: fig|200643.10.peg.1168
0_687: fig|200643.10.peg.1170
0_688: fig|200643.10.peg.1171
0_689: fig|200643.10.peg.1172
0_690: fig|200643.10.peg.1173
0_691: fig|200643.10.peg.1174
0_692: fig|200643.10.peg.1177
0_693: fig|200643.10.peg.1178
0_694: fig|200643.10.peg.1179
0_695: fig|200643.10.peg.1180
0_696: fig|200643.10.peg.1182
0_697: fig|200643.10.peg.1183
0_698: fig|200643.10.peg.1184
0_699: fig|200643.10.peg.1185
0_700: fig|200643.10.peg.1187
0_701: fig|200643.10.peg.1190
0_702: fig|200643.10.peg.1192
0_703: fig|200643.10.peg.1194
0_704: fig|200643.10.peg.1195
0_705: fig|200643.10.peg.1198
0_706: fig|200643.10.peg.1199
0_707: fig|200643.10.peg.1200
0_708: fig|200643.10.peg.1201
0_709: fig|200643.10.peg.1202
0_710: fig|200643.10.peg.1204
0_711: fig|200643.10.peg.1206
0_712: fig|200643.10.peg.1210
0_713: fig|200643.10.peg.1211
0_714: fig|200643.10.peg.1213
0_715: fig|200643.10.peg.1215
0_716: fig|200643.10.peg.1219
0_717: fig|200643.10.peg.1233
0_718: fig|200643.10.peg.1251
0_719: fig|200643.10.peg.1259
0_720: fig|200643.10.peg.1263
0_721: fig|200643.10.peg.1265
0_722: fig|200643.10.peg.1266
0_723: fig|200643.10.peg.1269
0_724: fig|200643.10.peg.1270
0_725: fig|200643.10.peg.1272
0_726: fig|200643.10.peg.1273
0_727: fig|200643.10.peg.1275
0_728: fig|200643.10.peg.1276
0_729: fig|200643.10.peg.1278
0_730: fig|200643.10.peg.1279
0_731: fig|200643.10.peg.1280
0_732: fig|200643.10.peg.1281
0_733: fig|200643.10.peg.1282
0_734: fig|200643.10.peg.1284
0_735: fig|200643.10.peg.1285
0_736: fig|200643.10.peg.1286
0_737: fig|200643.10.peg.1287
0_738: fig|200643.10.peg.1288
0_739: fig|200643.10.peg.1294
0_740: fig|200643.10.peg.1295
0_741: fig|200643.10.peg.1296
0_742: fig|200643.10.peg.1299
0_743: fig|200643.10.peg.1300
0_744: fig|200643.10.peg.1301
0_745: fig|200643.10.peg.1303
0_746: fig|200643.10.peg.1304
0_747: fig|200643.10.peg.1305
0_748: fig|200643.10.peg.1309
0_749: fig|200643.10.peg.1310
0_750: fig|200643.10.peg.1313
0_751: fig|200643.10.peg.1314
0_752: fig|200643.10.peg.1315
0_753: fig|200643.10.peg.1316
0_754: fig|200643.10.peg.1317
0_755: fig|200643.10.peg.1319
0_756: fig|200643.10.peg.1320
0_757: fig|200643.10.peg.1322
0_758: fig|200643.10.peg.1323
0_759: fig|200643.10.peg.1325
0_760: fig|200643.10.peg.1326
0_761: fig|200643.10.peg.1327
0_762: fig|200643.10.peg.1328
0_763: fig|200643.10.peg.1329
0_764: fig|200643.10.peg.1330
0_765: fig|200643.10.peg.1332
0_766: fig|200643.10.peg.1334
0_767: fig|200643.10.peg.1336
0_768: fig|200643.10.peg.1340
0_769: fig|200643.10.peg.1341
0_770: fig|200643.10.peg.1342
0_771: fig|200643.10.peg.1343
0_772: fig|200643.10.peg.1345
0_773: fig|200643.10.peg.1346
0_774: fig|200643.10.peg.1347
0_775: fig|200643.10.peg.1348
0_776: fig|200643.10.peg.1349
0_777: fig|200643.10.peg.1350
0_778: fig|200643.10.peg.1351
0_779: fig|200643.10.peg.1353
0_780: fig|200643.10.peg.1354
0_781: fig|200643.10.peg.1355
0_782: fig|200643.10.peg.1356
0_783: fig|200643.10.peg.1357
0_784: fig|200643.10.peg.1361
0_785: fig|200643.10.peg.1362
0_786: fig|200643.10.peg.1365
0_787: fig|200643.10.peg.1366
0_788: fig|200643.10.peg.1371
0_789: fig|200643.10.peg.1372
0_790: fig|200643.10.peg.1373
0_791: fig|200643.10.peg.1374
0_792: fig|200643.10.peg.1375
0_793: fig|200643.10.peg.1376
0_794: fig|200643.10.peg.1378
0_795: fig|200643.10.peg.1379
0_796: fig|200643.10.peg.1380
0_797: fig|200643.10.peg.1381
0_798: fig|200643.10.peg.1382
0_799: fig|200643.10.peg.1386
0_800: fig|200643.10.peg.1388
0_801: fig|200643.10.peg.1390
0_802: fig|200643.10.peg.1393
0_803: fig|200643.10.peg.1394
0_804: fig|200643.10.peg.1395
0_805: fig|200643.10.peg.1396
0_806: fig|200643.10.peg.1397
0_807: fig|200643.10.peg.1398
0_808: fig|200643.10.peg.1399
