n       n:100      n:N50     min      median    mean       N50        max          sum
90      90         6         294      2559      33732      172798     432023       3035907       Fer4_2/CA/10-gapclose/genome.ctg.fasta
163     163        22        363      6404      14676      33677      113195       2392232       GillExp13_S6/CA/10-gapclose/genome.ctg.fasta
58      58         7         701      22180     42102      128979     276995       2441972       Gris1-3_S7/CA/10-gapclose/genome.ctg.fasta
90      90         16        349      17696     26209      58267      112374       2358864       Gris1-4_S8/CA/10-gapclose/genome.ctg.fasta
50      50         6         597      17802     49194      149104     308696       2459710       Gris1-6_S9/CA/10-gapclose/genome.ctg.fasta
89      89         11        358      10297     28680      61124      191293       2552527       Gris3_2/CA/10-gapclose/genome.ctg.fasta
48      48         6         331      8146      51108      122377     330455       2453208       Gris3_4/CA/10-gapclose/genome.ctg.fasta
117     117        13        549      5546      24301      79103      254983       2843330       HK2_S10/CA/10-gapclose/genome.ctg.fasta
74      74         7         314      8239      35259      92612      618239       2609198       HK3_S11/CA/10-gapclose/genome.ctg.fasta
137     137        15        520      5533      20672      59720      208448       2832078       HK7_S12/CA/10-gapclose/genome.ctg.fasta
110     110        7         303      2782      23351      120216     272954       2568638       HK9x_S13/CA/10-gapclose/genome.ctg.fasta
141     141        20        407      8494      16735      34994      110047       2359762       Imp1-1_S14/CA/10-gapclose/genome.ctg.fasta
91      91         17        467      19499     24940      45049      112921       2269603       Imp1-6_S15/CA/10-gapclose/genome.ctg.fasta
686     686        84        339      4068      7289       12447      153661       5000825       M1-1S_S16/CA/10-gapclose/genome.ctg.fasta
10      10         3         2078     241517    238882     342893     685108       2388823       M1-2G_S17/CA/10-gapclose/genome.ctg.fasta
902     902        21        306      1493      4755       31998      266376       4289072       M1-3S_S18/CA/10-gapclose/genome.ctg.fasta
1704    1704       149       302      1600      3346       5904       159960       5702051       M3-1G_S19/CA/10-gapclose/genome.ctg.fasta
83      83         3         305      583       34024      422806     571087       2824058       M6-1G_S20/CA/10-gapclose/genome.ctg.fasta
86      86         5         315      756       31510      191995     381896       2709905       M6-3G_S21/CA/10-gapclose/genome.ctg.fasta
932     932        36        302      1750      4794       16653      209891       4468313       M7-1S_S22/CA/10-gapclose/genome.ctg.fasta
41      41         4         302      1543      49489      222700     428191       2029078       MRS3-2_S23/CA/10-gapclose/genome.ctg.fasta
93      93         10        301      7034      30725      106933     257915       2857512       Nev3_1/CA/10-gapclose/genome.ctg.fasta
131     131        10        302      3514      21623      75458      298627       2832650       Nev3CBA3/CA/10-gapclose/genome.ctg.fasta
90      90         8         315      4724      28699      95658      376562       2582966       Nev4_2/CA/10-gapclose/genome.ctg.fasta
94      94         13        375      9177      28866      74914      138276       2713492       Nev5_1/CA/10-gapclose/genome.ctg.fasta
103     103        11        530      8841      26112      70613      230445       2689628       Nev6_6/CA/10-gapclose/genome.ctg.fasta
36      36         7         331      43313     62021      101835     240135       2232791       Occ3_1/CA/10-gapclose/genome.ctg.fasta
54      54         6         305      5725      46093      151012     368096       2489068       Occ4_2/CA/10-gapclose/genome.ctg.fasta
124     124        13        300      7978      21663      56684      209684       2686218       Occ4_3/CA/10-gapclose/genome.ctg.fasta
2781    2781       200       300      1168      2672       5911       351042       7430834       P46G_S24/CA/10-gapclose/genome.ctg.fasta
56      56         8         330      25579     55480      129582     263540       3106887       P54G_S25/CA/10-gapclose/genome.ctg.fasta
20      20         5         973      117582    127455     172591     441217       2549106       P62G_S26/CA/10-gapclose/genome.ctg.fasta
63      63         9         846      16237     40949      100814     212927       2579840       P71S_S27/CA/10-gapclose/genome.ctg.fasta
93      93         14        585      11845     27616      59207      170177       2568358       P78S_S28/CA/10-gapclose/genome.ctg.fasta
29      29         5         334      40022     86029      230310     367417       2494856       P83G_S29/CA/10-gapclose/genome.ctg.fasta
31      31         6         392      56298     89104      147429     451901       2762224       Ruf1_X/CA/10-gapclose/genome.ctg.fasta
67      67         7         302      3854      38858      133888     333881       2603503       WF3_3/CA/10-gapclose/genome.ctg.fasta
61      61         7         360      3595      46678      165092     345860       2847396       WF3_4/CA/10-gapclose/genome.ctg.fasta
104     104        12        322      6941      29585      84874      197583       3076915       wkB108/CA/10-gapclose/genome.ctg.fasta
23      23         5         378      69554     91657      158900     301146       2108121       wkB10_S30/CA/10-gapclose/genome.ctg.fasta
22      22         3         325      19500     115104     293117     614553       2532308       wkB112/CA/10-gapclose/genome.ctg.fasta
59      59         5         306      6171      45269      144296     653009       2670926       wkB171/CA/10-gapclose/genome.ctg.fasta
16      16         2         363      1778      148064     588434     882024       2369030       wkB178/CA/10-gapclose/genome.ctg.fasta
25      25         6         331      101075    105199     172902     386079       2629986       wkB180B/CA/10-gapclose/genome.ctg.fasta
113     113        13        378      5301      20991      67286      139478       2371993       wkB18_S31/CA/10-gapclose/genome.ctg.fasta
38      38         7         635      49635     65815      101351     445408       2500996       wkB195/CA/10-gapclose/genome.ctg.fasta
1731    1731       16        300      702       2453       45404      316504       4246602       wkB233A/CA/10-gapclose/genome.ctg.fasta
21      21         3         302      39041     110524     327688     730172       2321012       wkB237A/CA/10-gapclose/genome.ctg.fasta
31      31         2         318      10782     74758      335346     925894       2317511       wkB273/CA/10-gapclose/genome.ctg.fasta
85      85         11        333      12502     32249      98188      183780       2741181       wkB292/CA/10-gapclose/genome.ctg.fasta
42      42         3         315      5685      55673      300195     569578       2338271       wkB298B/CA/10-gapclose/genome.ctg.fasta
59      59         5         313      3350      46977      205333     443837       2771693       wkB301A/CA/10-gapclose/genome.ctg.fasta
46      46         4         331      5709      59502      195029     569688       2737107       wkB308/CA/10-gapclose/genome.ctg.fasta
32      32         3         301      844       70358      347325     564176       2251466       wkB309/CA/10-gapclose/genome.ctg.fasta
30      30         3         325      2143      82913      502922     619383       2487419       wkB332/CA/10-gapclose/genome.ctg.fasta
49      49         6         306      7064      44815      148114     390730       2195981       wkB338/CA/10-gapclose/genome.ctg.fasta
27      27         3         382      24562     92589      431105     619082       2499917       wkB339/CA/10-gapclose/genome.ctg.fasta
27      27         3         200      2366      77407      389556     520790       2089989       wkB344/CA/10-gapclose/genome.ctg.fasta
30      30         4         324      2911      85694      213610     627210       2570834       wkB72/CA/10-gapclose/genome.ctg.fasta
79      79         8         671      7359      36613      101681     342593       2892488       wkB7_S32/CA/10-gapclose/genome.ctg.fasta
15      15         2         300      67139     127995     427270     689039       1919931       wkB8_S33/CA/10-gapclose/genome.ctg.fasta
15      15         2         365      80213     169902     663898     795200       2548535       wkB9_S34/CA/10-gapclose/genome.ctg.fasta
