"","gene_1","gene_2","gene_3","gene_4","gene_5","gene_6","gene_7","gene_8","gene_9","gene_10","gene_11","gene_12","gene_13","gene_14","gene_15","gene_16","gene_17","gene_18","gene_19","gene_20","gene_21","gene_22","gene_23","gene_24","gene_25","gene_26","gene_27","gene_28","gene_29","gene_30","gene_31","gene_32","gene_33","gene_34","gene_35","gene_36","gene_37","gene_38","gene_39","gene_40","gene_41","gene_42"
"OG0000320:","fig|1196095.96.peg.253","fig|1196095.108.peg.268","fig|1196095.127.peg.2249","fig|1196095.98.peg.2306","fig|1196095.110.peg.117","fig|1196095.112.peg.1722","fig|1196095.119.peg.586","fig|1196095.114.peg.1280","fig|1196095.100.peg.2","fig|1196095.123.peg.738","fig|1196095.132.peg.1864","fig|1196095.102.peg.1413","fig|1196095.115.peg.1771","fig|1196095.135.peg.442","fig|1196095.116.peg.2618","fig|1196095.95.peg.193","fig|1196095.113.peg.802","fig|1196095.106.peg.540","fig|1196095.121.peg.2304","fig|1196095.134.peg.562","fig|1196095.130.peg.90","fig|1196095.118.peg.553","fig|1196095.101.peg.70","fig|1196095.128.peg.2217","fig|1196095.99.peg.1452","fig|1196095.129.peg.825","fig|1196095.122.peg.1408","fig|1196095.94.peg.748","fig|1196095.104.peg.1008","fig|1196095.133.peg.2690","fig|1196095.124.peg.618","fig|1196095.103.peg.978","fig|1196095.107.peg.1787","fig|1196095.97.peg.1203","fig|1196095.109.peg.1414","fig|1196095.111.peg.77","fig|1196095.117.peg.1849","fig|1196095.120.peg.1565","fig|1196095.105.peg.1221","fig|1196095.126.peg.861","fig|1196095.125.peg.447","fig|1196095.131.peg.554"
"OG0000332:","fig|1196095.106.peg.481","fig|1196095.98.peg.180","fig|1196095.105.peg.1086","fig|1196095.117.peg.487","fig|1196095.114.peg.1258","fig|1196095.120.peg.812","fig|1196095.103.peg.958","fig|1196095.131.peg.595","fig|1196095.111.peg.6","fig|1196095.125.peg.1022","fig|1196095.112.peg.1552","fig|1196095.116.peg.2701","fig|1196095.115.peg.1792","fig|1196095.99.peg.1702","fig|1196095.132.peg.1842","fig|1196095.102.peg.1507","fig|1196095.121.peg.2327","fig|1196095.101.peg.50","fig|1196095.129.peg.247","fig|1196095.107.peg.2277","fig|1196095.135.peg.927","fig|1196095.130.peg.66","fig|1196095.97.peg.840","fig|1196095.122.peg.1386","fig|1196095.108.peg.1155","fig|1196095.110.peg.46","fig|1196095.124.peg.218","fig|1196095.113.peg.1193","fig|1196095.128.peg.1737","fig|1196095.126.peg.633","fig|1196095.119.peg.608","fig|1196095.118.peg.254","fig|1196095.104.peg.1087","fig|1196095.100.peg.22","fig|1196095.109.peg.528","fig|1196095.95.peg.216","fig|1196095.94.peg.770","fig|1196095.127.peg.2273","fig|1196095.134.peg.539","fig|1196095.123.peg.716","fig|1196095.133.peg.2935","fig|1196095.96.peg.231"
"OG0000333:","fig|1196095.98.peg.178","fig|1196095.106.peg.483","fig|1196095.126.peg.631","fig|1196095.97.peg.838","fig|1196095.114.peg.1256","fig|1196095.105.peg.1088","fig|1196095.125.peg.1020","fig|1196095.111.peg.8","fig|1196095.117.peg.489","fig|1196095.112.peg.1550","fig|1196095.128.peg.1747","fig|1196095.115.peg.1794","fig|1196095.135.peg.929","fig|1196095.102.peg.1510","fig|1196095.121.peg.2329","fig|1196095.123.peg.714","fig|1196095.129.peg.245","fig|1196095.130.peg.64","fig|1196095.101.peg.47","fig|1196095.99.peg.1700","fig|1196095.122.peg.1384","fig|1196095.110.peg.48","fig|1196095.108.peg.1157","fig|1196095.124.peg.220","fig|1196095.113.peg.1191","fig|1196095.103.peg.955","fig|1196095.120.peg.810","fig|1196095.119.peg.610","fig|1196095.96.peg.229","fig|1196095.131.peg.603","fig|1196095.94.peg.773","fig|1196095.95.peg.219","fig|1196095.104.peg.1085","fig|1196095.116.peg.2699","fig|1196095.133.peg.2816","fig|1196095.100.peg.25","fig|1196095.109.peg.530","fig|1196095.118.peg.256","fig|1196095.132.peg.1840","fig|1196095.107.peg.2275","fig|1196095.134.peg.537","fig|1196095.127.peg.2275"
"OG0000334:","fig|1196095.104.peg.1081","fig|1196095.106.peg.487","fig|1196095.108.peg.1161","fig|1196095.114.peg.1252","fig|1196095.126.peg.627","fig|1196095.113.peg.1187","fig|1196095.118.peg.261","fig|1196095.133.peg.2799","fig|1196095.125.peg.1016","fig|1196095.99.peg.175","fig|1196095.119.peg.614","fig|1196095.97.peg.834","fig|1196095.95.peg.223","fig|1196095.127.peg.2279","fig|1196095.100.peg.29","fig|1196095.94.peg.777","fig|1196095.103.peg.190","fig|1196095.128.peg.1751","fig|1196095.102.peg.1514","fig|1196095.129.peg.241","fig|1196095.101.peg.43","fig|1196095.123.peg.710","fig|1196095.112.peg.1546","fig|1196095.107.peg.2271","fig|1196095.98.peg.174","fig|1196095.122.peg.1380","fig|1196095.105.peg.1092","fig|1196095.135.peg.932","fig|1196095.124.peg.224","fig|1196095.110.peg.52","fig|1196095.117.peg.494","fig|1196095.120.peg.806","fig|1196095.96.peg.224","fig|1196095.131.peg.607","fig|1196095.130.peg.60","fig|1196095.115.peg.1798","fig|1196095.109.peg.534","fig|1196095.116.peg.2694","fig|1196095.121.peg.2333","fig|1196095.134.peg.533","fig|1196095.132.peg.1836","fig|1196095.111.peg.12"
"OG0000335:","fig|1196095.122.peg.1373","fig|1196095.108.peg.1168","fig|1196095.124.peg.231","fig|1196095.126.peg.626","fig|1196095.104.peg.1074","fig|1196095.97.peg.833","fig|1196095.99.peg.174","fig|1196095.125.peg.1015","fig|1196095.118.peg.268","fig|1196095.112.peg.1545","fig|1196095.128.peg.1752","fig|1196095.119.peg.615","fig|1196095.95.peg.224","fig|1196095.133.peg.2742","fig|1196095.117.peg.501","fig|1196095.100.peg.30","fig|1196095.94.peg.778","fig|1196095.101.peg.42","fig|1196095.129.peg.240","fig|1196095.132.peg.1829","fig|1196095.127.peg.2286","fig|1196095.113.peg.1180","fig|1196095.106.peg.255","fig|1196095.134.peg.526","fig|1196095.123.peg.703","fig|1196095.105.peg.1099","fig|1196095.98.peg.173","fig|1196095.135.peg.933","fig|1196095.103.peg.189","fig|1196095.96.peg.223","fig|1196095.120.peg.805","fig|1196095.114.peg.1245","fig|1196095.107.peg.1123","fig|1196095.109.peg.535","fig|1196095.130.peg.53","fig|1196095.115.peg.1805","fig|1196095.116.peg.2687","fig|1196095.121.peg.2334","fig|1196095.102.peg.1521","fig|1196095.110.peg.59","fig|1196095.111.peg.19","fig|1196095.131.peg.609"
"OG0000336:","fig|1196095.124.peg.232","fig|1196095.122.peg.1372","fig|1196095.126.peg.625","fig|1196095.113.peg.1179","fig|1196095.108.peg.1169","fig|1196095.97.peg.832","fig|1196095.107.peg.1124","fig|1196095.118.peg.269","fig|1196095.125.peg.1014","fig|1196095.119.peg.616","fig|1196095.95.peg.225","fig|1196095.99.peg.173","fig|1196095.103.peg.188","fig|1196095.128.peg.1753","fig|1196095.106.peg.254","fig|1196095.100.peg.31","fig|1196095.117.peg.502","fig|1196095.116.peg.2686","fig|1196095.94.peg.779","fig|1196095.129.peg.239","fig|1196095.101.peg.41","fig|1196095.110.peg.60","fig|1196095.127.peg.2287","fig|1196095.132.peg.1828","fig|1196095.134.peg.525","fig|1196095.98.peg.172","fig|1196095.105.peg.1100","fig|1196095.115.peg.1806","fig|1196095.135.peg.934","fig|1196095.112.peg.1897","fig|1196095.131.peg.610","fig|1196095.96.peg.222","fig|1196095.114.peg.1244","fig|1196095.104.peg.1073","fig|1196095.133.peg.774","fig|1196095.130.peg.52","fig|1196095.109.peg.536","fig|1196095.120.peg.804","fig|1196095.121.peg.2335","fig|1196095.102.peg.1522","fig|1196095.123.peg.702","fig|1196095.111.peg.20"
"OG0000337:","fig|1196095.97.peg.831","fig|1196095.124.peg.233","fig|1196095.122.peg.1371","fig|1196095.113.peg.1178","fig|1196095.108.peg.1170","fig|1196095.126.peg.624","fig|1196095.128.peg.1754","fig|1196095.107.peg.1125","fig|1196095.119.peg.617","fig|1196095.131.peg.611","fig|1196095.99.peg.172","fig|1196095.95.peg.226","fig|1196095.106.peg.253","fig|1196095.117.peg.503","fig|1196095.94.peg.780","fig|1196095.100.peg.32","fig|1196095.116.peg.2685","fig|1196095.129.peg.238","fig|1196095.121.peg.2336","fig|1196095.134.peg.524","fig|1196095.98.peg.171","fig|1196095.104.peg.1072","fig|1196095.103.peg.187","fig|1196095.115.peg.1807","fig|1196095.135.peg.935","fig|1196095.105.peg.1101","fig|1196095.120.peg.803","fig|1196095.118.peg.270","fig|1196095.125.peg.1013","fig|1196095.96.peg.221","fig|1196095.114.peg.1243","fig|1196095.109.peg.537","fig|1196095.133.peg.775","fig|1196095.130.peg.51","fig|1196095.132.peg.1827","fig|1196095.127.peg.2288","fig|1196095.110.peg.61","fig|1196095.112.peg.1898","fig|1196095.102.peg.1523","fig|1196095.123.peg.701","fig|1196095.111.peg.21","fig|1196095.101.peg.40"
"OG0000339:","fig|1196095.112.peg.194","fig|1196095.135.peg.940","fig|1196095.124.peg.240","fig|1196095.115.peg.1823","fig|1196095.129.peg.233","fig|1196095.131.peg.617","fig|1196095.113.peg.1649","fig|1196095.96.peg.214","fig|1196095.120.peg.6","fig|1196095.114.peg.1230","fig|1196095.100.peg.38","fig|1196095.123.peg.687","fig|1196095.117.peg.510","fig|1196095.116.peg.2678","fig|1196095.103.peg.181","fig|1196095.130.peg.43","fig|1196095.95.peg.235","fig|1196095.109.peg.266","fig|1196095.110.peg.68","fig|1196095.119.peg.140","fig|1196095.101.peg.34","fig|1196095.111.peg.28","fig|1196095.126.peg.618","fig|1196095.94.peg.789","fig|1196095.108.peg.1742","fig|1196095.106.peg.1970","fig|1196095.102.peg.2121","fig|1196095.104.peg.1065","fig|1196095.118.peg.277","fig|1196095.107.peg.488","fig|1196095.128.peg.1762","fig|1196095.125.peg.1002","fig|1196095.133.peg.3528","fig|1196095.134.peg.516","fig|1196095.122.peg.1357","fig|1196095.99.peg.851","fig|1196095.105.peg.728","fig|1196095.132.peg.1819","fig|1196095.98.peg.1600","fig|1196095.97.peg.1682","fig|1196095.127.peg.2296","fig|1196095.121.peg.2345"
"OG0000340:","fig|1196095.106.peg.1974","fig|1196095.117.peg.1793","fig|1196095.124.peg.248","fig|1196095.112.peg.197","fig|1196095.129.peg.230","fig|1196095.113.peg.1646","fig|1196095.131.peg.620","fig|1196095.125.peg.998","fig|1196095.114.peg.1227","fig|1196095.133.peg.2189","fig|1196095.116.peg.2674","fig|1196095.130.peg.39","fig|1196095.123.peg.684","fig|1196095.109.peg.269","fig|1196095.110.peg.71","fig|1196095.127.peg.2304","fig|1196095.122.peg.1354","fig|1196095.111.peg.31","fig|1196095.119.peg.137","fig|1196095.115.peg.1827","fig|1196095.108.peg.1745","fig|1196095.104.peg.1062","fig|1196095.102.peg.2124","fig|1196095.94.peg.793","fig|1196095.135.peg.943","fig|1196095.121.peg.2348","fig|1196095.126.peg.615","fig|1196095.128.peg.1765","fig|1196095.107.peg.484","fig|1196095.95.peg.239","fig|1196095.96.peg.1740","fig|1196095.134.peg.512","fig|1196095.99.peg.848","fig|1196095.100.peg.41","fig|1196095.98.peg.1597","fig|1196095.118.peg.1426","fig|1196095.105.peg.736","fig|1196095.103.peg.178","fig|1196095.97.peg.1685","fig|1196095.120.peg.10","fig|1196095.101.peg.31","fig|1196095.132.peg.1815"
"OG0000341:","fig|1196095.104.peg.1057","fig|1196095.106.peg.1981","fig|1196095.108.peg.1750","fig|1196095.117.peg.1798","fig|1196095.135.peg.947","fig|1196095.129.peg.226","fig|1196095.113.peg.1641","fig|1196095.125.peg.648","fig|1196095.131.peg.624","fig|1196095.124.peg.253","fig|1196095.96.peg.1747","fig|1196095.134.peg.506","fig|1196095.123.peg.678","fig|1196095.130.peg.33","fig|1196095.133.peg.348","fig|1196095.95.peg.1941","fig|1196095.111.peg.36","fig|1196095.94.peg.1452","fig|1196095.128.peg.1221","fig|1196095.110.peg.76","fig|1196095.101.peg.23","fig|1196095.115.peg.1833","fig|1196095.114.peg.1222","fig|1196095.98.peg.1967","fig|1196095.118.peg.1421","fig|1196095.121.peg.2355","fig|1196095.120.peg.15","fig|1196095.109.peg.883","fig|1196095.107.peg.355","fig|1196095.112.peg.202","fig|1196095.127.peg.2316","fig|1196095.99.peg.969","fig|1196095.126.peg.608","fig|1196095.132.peg.1801","fig|1196095.100.peg.48","fig|1196095.116.peg.2669","fig|1196095.122.peg.1349","fig|1196095.97.peg.535","fig|1196095.119.peg.149","fig|1196095.103.peg.171","fig|1196095.105.peg.741","fig|1196095.102.peg.1871"
"OG0000342:","fig|1196095.104.peg.1053","fig|1196095.108.peg.1755","fig|1196095.117.peg.1801","fig|1196095.115.peg.1837","fig|1196095.106.peg.1985","fig|1196095.113.peg.1637","fig|1196095.131.peg.628","fig|1196095.107.peg.350","fig|1196095.134.peg.502","fig|1196095.124.peg.257","fig|1196095.96.peg.1750","fig|1196095.135.peg.950","fig|1196095.123.peg.674","fig|1196095.118.peg.1417","fig|1196095.95.peg.1945","fig|1196095.111.peg.40","fig|1196095.98.peg.1972","fig|1196095.119.peg.154","fig|1196095.105.peg.745","fig|1196095.97.peg.530","fig|1196095.114.peg.1218","fig|1196095.126.peg.605","fig|1196095.133.peg.2811","fig|1196095.110.peg.80","fig|1196095.101.peg.20","fig|1196095.109.peg.888","fig|1196095.125.peg.652","fig|1196095.99.peg.974","fig|1196095.121.peg.2359","fig|1196095.129.peg.222","fig|1196095.112.peg.207","fig|1196095.120.peg.20","fig|1196095.132.peg.1797","fig|1196095.116.peg.2666","fig|1196095.122.peg.1345","fig|1196095.130.peg.29","fig|1196095.100.peg.51","fig|1196095.127.peg.2320","fig|1196095.94.peg.1456","fig|1196095.128.peg.1217","fig|1196095.102.peg.1868","fig|1196095.103.peg.168"
